"phone","age","gender","qid","aid","correct","created_at"
"+2207827045379","79","1","1","1","0","2019/4/12 09:22:23"
"+5994195853149","11","1","1","0","0","2019/4/2 20:22:07"
"+5994195853149","11","1","1","1","0","2019/3/29 07:22:15"
"+1087824773095","45","0","1","0","1","2018/7/24 14:22:30"
"+9443596964348","75","1","1","1","1","2018/9/28 08:22:41"
"+3682989388313","52","0","1","1","1","2018/8/1 12:22:01"
"+8808620343098","77","0","1","1","0","2019/3/7 11:22:38"
"+5345495594428","31","0","1","1","1","2018/9/25 04:22:06"
"+8226323767245","54","1","1","0","1","2018/8/28 13:22:34"
"+2207827045379","79","1","1","0","1","2018/7/29 19:22:11"
"+5791189525692","51","0","1","0","0","2018/7/2 06:22:08"
"+4586917502005","78","0","1","0","0","2018/7/23 21:22:32"
"+5558851653313","55","1","1","1","1","2019/2/24 18:21:59"
"+2863890066822","19","1","1","1","0","2019/1/27 05:22:45"
"+6253494284142","20","0","1","0","0","2018/11/7 01:22:21"
"+6253494284142","20","0","1","1","1","2019/1/21 09:22:19"
"+3894276825966","54","0","1","1","0","2018/11/13 17:22:13"
"+2944661329235","26","0","1","0","0","2019/3/3 17:22:28"
"+9581670952833","46","0","1","1","0","2018/11/25 14:21:58"
"+3740890985902","30","1","1","0","1","2018/9/26 10:22:10"
"+7323088463274","32","1","1","1","1","2019/1/1 06:22:31"
"+7087220714296","49","0","1","0","1","2018/12/21 21:22:14"
"+2466400730306","15","0","1","1","0","2018/11/21 03:22:41"
"+1923948812996","79","0","1","1","1","2018/9/4 17:22:46"
"+6513512018969","35","1","1","0","1","2019/1/31 02:22:07"
"+7323088463274","32","1","1","0","1","2018/10/29 16:22:04"
"+7869945683898","45","1","1","1","1","2018/7/14 01:22:13"
"+6917505833986","24","0","1","1","0","2018/8/24 14:22:20"
"+5397502718648","12","1","1","0","0","2018/10/4 13:22:23"
"+5397502718648","12","1","1","1","1","2018/11/10 23:22:03"
"+9605246821770","23","1","1","1","1","2019/1/6 14:22:01"
"+1378762626465","34","0","1","1","1","2019/3/22 07:22:05"
"+1396974897582","69","1","1","0","1","2019/3/2 23:22:31"
"+6854746771260","18","0","1","1","0","2018/10/25 13:22:38"
"+7103752979472","49","1","1","1","1","2018/10/2 23:22:14"
"+3155520072805","34","1","1","1","0","2019/1/22 00:22:28"
"+2316538668824","23","0","1","1","1","2018/10/26 01:22:33"
"+7087220714296","49","0","1","1","0","2018/10/25 22:22:44"
"+1539440556364","35","0","1","0","0","2018/6/20 10:22:19"
"+7060035752153","46","1","1","0","0","2019/4/11 19:21:58"
"+5791189525692","51","0","1","0","0","2019/3/8 21:22:25"
"+4914003699837","45","0","1","1","0","2019/2/7 18:21:58"
"+3593134901944","41","1","1","0","1","2018/9/14 13:22:25"
"+5773836663501","17","0","1","1","1","2018/10/4 10:22:22"
"+7060035752153","46","1","1","1","1","2018/12/28 12:22:22"
"+3894276825966","54","0","1","1","1","2018/10/22 21:21:59"
"+3303312685992","32","1","1","1","0","2019/2/10 05:22:23"
"+6513512018969","35","1","1","1","1","2018/8/7 22:22:42"
"+3155520072805","34","1","1","1","0","2019/3/21 03:22:33"
"+5220627503213","11","1","1","0","0","2019/3/25 11:22:41"
"+8226323767245","54","1","1","0","1","2018/10/10 23:22:25"
"+8148244252721","55","0","1","1","0","2018/10/7 22:22:08"
"+7711734705506","76","0","1","1","1","2018/10/26 04:21:58"
"+3740890985902","30","1","1","0","0","2018/11/7 00:22:37"
"+6253494284142","20","0","1","1","1","2018/7/30 02:22:15"
"+8226323767245","54","1","1","1","0","2019/1/7 01:22:08"
"+6707748990637","44","0","1","1","1","2019/3/13 02:22:46"
"+5213274361171","80","1","1","0","1","2018/7/4 17:22:31"
"+9056655492247","28","1","1","0","0","2018/7/9 15:22:40"
"+6896105629509","24","1","1","1","1","2018/10/26 05:22:19"
"+5213274361171","80","1","1","0","1","2018/10/4 18:22:23"
"+2738867434525","77","0","1","0","1","2018/10/14 06:22:13"
"+4276108277910","65","0","1","0","1","2018/9/3 20:22:36"
"+4181052208679","35","0","1","1","0","2018/7/10 21:22:28"
